CODPROD;NOMEPROD;CODFORNE;UNIDADE;ALIQICMS;VALCUSTO;VALVENDA;QTDEMIN;QTDEESTQ;GRUPO;CLASSESTQ;COMISSAO;PESOBRUTO
183;PRODUTO 183;4;4;18,0;15,71;19,90;5,000;17,000;1;D;0,0000;0,900
184;PRODUTO 184;318;4;18,0;6,25;8,10;6,000;13,000;1;D;0,0000;0,200
185;PRODUTO 185;84;1;18,0;145,00;178,50;0,000;1,876;1;C;;0,000
186;PRODUTO 186;7;4;0,0;15,00;18,30;5,000;2,000;1;B;0,0000;0,450
187;PRODUTO 187;398;1;12,0;48,70;63,30;2,000;0,000;1;A;0,0000;0,000
188;PRODUTO 188;428;4;18,0;16,20;21,10;17,000;12,000;1;D;0,0000;0,200
189;PRODUTO 189;308;4;0,0;19,23;24,90;9,000;17,000;1;C;0,0000;0,250
190;PRODUTO 190;257;4;12,0;6,60;11,50;10,000;18,000;1;B;0,0000;0,120
191;PRODUTO 191;64;3;18,0;13,00;16,30;6,000;39,000;1;B;0,0000;1,100
192;PRODUTO 192;421;1;12,0;40,37;48,90;0,000;13,660;1;C;0,0000;0,000
193;PRODUTO 193;64;3;18,0;12,90;14,90;145,000;230,000;1;B;0,0000;1,050
194;PRODUTO 194;257;1;12,0;53,00;65,00;39,000;40,296;1;A;0,0000;0,000
196;PRODUTO 196;41;1;18,0;28,00;32,00;54,000;24,817;1;A;0,0000;0,000
197;PRODUTO 197;318;6;18,0;53,50;69,50;2,000;32,000;1;C;0,0000;1,650
198;PRODUTO 198;308;4;18,0;9,90;12,50;53,000;33,000;1;A;0,0000;1,100
200;PRODUTO 200;309;4;18,0;10,90;14,20;7,000;11,000;1;C;0,0000;0,320
201;PRODUTO 201;48;4;0,0;30,25;39,50;4,000;13,000;5;D;0,0000;0,500
202;PRODUTO 202;4;1;0,0;15,90;17,90;10,000;0,000;2;C;0,0000;5,100
203;PRODUTO 203;10;1;0,0;15,80;21,00;18,000;28,980;2;A;0,0000;0,000
204;PRODUTO 204;10;1;0,0;13,90;17,00;8,000;14,935;2;A;0,0000;0,000
205;PRODUTO 205;311;1;0,0;21,55;30,00;27,000;48,542;2;A;0,0000;0,000
206;PRODUTO 206;318;4;18,0;14,50;19,00;2,000;7,000;1;C;0,0000;0,140
207;PRODUTO 207;311;4;0,0;18,51;21,90;9,000;0,000;2;C;0,0000;2,600
208;PRODUTO 208;47;4;0,0;15,33;19,90;3,000;0,000;2;C;0,0000;2,600
211;PRODUTO 211;416;4;18,0;13,43;17,30;2,000;0,000;2;D;0,0000;0,330
212;PRODUTO 212;311;1;0,0;82,00;102,50;2,000;4,254;-1;D;0,0000;0,000
213;PRODUTO 213;311;1;0,0;19,20;27,90;47,000;38,040;2;C;0,0000;0,000
215;PRODUTO 215;10;1;0,0;20,30;28,00;9,000;3,810;2;A;0,0000;0,000
216;PRODUTO 216;10;4;18,0;17,05;21,90;8,000;12,000;5;D;0,0000;1,000
217;PRODUTO 217;4;1;0,0;25,00;32,00;49,000;86,348;2;A;0,0000;0,000
218;PRODUTO 218;318;4;0,0;19,58;25,90;3,000;1,000;1;D;0,0000;0,150
219;PRODUTO 219;311;1;0,0;21,50;30,00;8,000;1,104;2;A;0,0000;0,000
220;PRODUTO 220;10;1;0,0;18,70;25,20;16,000;20,000;2;A;0,0000;5,000
221;PRODUTO 221;10;1;0,0;31,50;45,00;9,000;12,262;2;B;0,0000;0,000
222;PRODUTO 222;311;4;0,0;16,00;18,50;19,000;10,000;2;C;0,0000;5,050
223;PRODUTO 223;416;4;18,0;12,60;15,90;3,000;0,000;2;D;0,0000;0,310
224;PRODUTO 224;311;1;0,0;20,70;28,00;32,000;77,500;2;B;0,0000;0,000
225;PRODUTO 225;7;4;18,0;2,15;3,20;2,000;71,000;1;C;0,0000;0,040
227;PRODUTO 227;10;1;0,0;16,50;18,00;5,000;0,000;2;A;0,0000;0,000
228;PRODUTO 228;309;4;0,0;10,06;11,90;3,000;1,000;1;C;0,0000;0,200
230;PRODUTO 230;4;1;0,0;23,00;32,00;19,000;56,353;2;A;0,0000;0,000
232;PRODUTO 232;10;1;0,0;20,90;29,00;19,000;20,000;2;A;0,0000;5,100
233;PRODUTO 233;4;1;0,0;43,00;51,90;13,000;0,000;2;C;0,0000;0,000
234;PRODUTO 234;311;4;0,0;16,69;21,50;0,000;0,000;2;C;0,0000;0,330
237;PRODUTO 237;311;1;0,0;65,00;90,50;0,000;0,960;2;A;0,0000;0,000
240;PRODUTO 240;311;1;0,0;9,07;12,60;0,000;0,000;2;D;0,0000;3,100
242;PRODUTO 242;16;1;;17,08;25,90;0,000;24,457;2;C;0,0000;
243;PRODUTO 243;99;1;0,0;55,00;69,00;3,000;16,000;2;B;;1,050
244;PRODUTO 244;311;1;0,0;34,06;39,90;2,000;0,000;2;C;0,0000;
245;PRODUTO 245;4;4;0,0;9,00;11,50;7,000;7,000;2;B;0,0000;0,510
246;PRODUTO 246;99;1;0,0;95,00;120,90;2,000;2,845;-1;C;0,0000;0,015
247;PRODUTO 247;4;1;0,0;19,54;26,50;3,000;0,000;2;C;0,0000;0,000
249;PRODUTO 249;416;4;18,0;13,50;17,50;3,000;0,000;2;D;;0,310
250;PRODUTO 250;10;1;0,0;60,00;80,00;14,000;18,219;2;B;0,0000;0,000
251;PRODUTO 251;99;1;0,0;26,40;35,50;3,000;3,730;2;C;0,0000;0,000
252;PRODUTO 252;4;1;0,0;89,00;105,00;5,000;17,269;2;B;0,0000;0,000
253;PRODUTO 253;10;1;18,0;68,05;92,00;9,000;18,417;2;B;0,0000;0,000
254;PRODUTO 254;4;1;0,0;89,00;110,00;9,000;17,014;2;B;0,0000;0,000
255;PRODUTO 255;4;4;18,0;15,02;19,90;4,000;0,000;5;C;0,0000;0,360
256;PRODUTO 256;4;4;18,0;5,73;7,50;2,000;0,000;7;C;0,0000;0,150
257;PRODUTO 257;311;4;18,0;27,88;39,90;2,000;20,000;5;C;0,0000;0,400
258;PRODUTO 258;146;1;0,0;160,00;189,90;3,000;0,000;2;D;0,0000;0,000
259;PRODUTO 259;60;4;18,0;45,22;53,00;2,000;12,000;7;C;0,0000;1,000
260;PRODUTO 260;10;1;0,0;24,65;29,60;3,000;10,000;2;A;0,0000;0,000
261;PRODUTO 261;53;4;18,0;11,80;16,50;6,000;2,000;5;C;0,0000;0,410
262;PRODUTO 262;53;4;18,0;14,81;19,50;2,000;1,000;5;C;0,0000;0,410
263;PRODUTO 263;99;1;0,0;53,10;65,00;3,000;9,224;2;C;0,0000;0,000
264;PRODUTO 264;99;1;18,0;58,00;69,20;3,000;4,642;2;C;0,0000;0,000
265;PRODUTO 265;53;4;0,0;12,20;15,90;4,000;26,000;5;C;0,0000;0,550
267;PRODUTO 267;64;4;18,0;25,80;36,00;122,000;147,000;1;B;0,0000;1,020
272;PRODUTO 272;99;1;0,0;38,00;51,00;14,000;80,637;2;B;0,0000;0,000
275;PRODUTO 275;311;4;;44,42;52,90;3,000;5,000;5;A;0,0000;0,510
277;PRODUTO 277;311;1;0,0;23,06;28,50;9,000;32,500;2;B;0,0000;2,600
281;PRODUTO 281;146;4;0,0;6,12;7,99;13,000;63,000;7;D;0,0000;0,350
283;PRODUTO 283;10;6;0,0;49,00;62,00;2,000;1,000;2;B;0,0000;3,220
290;PRODUTO 290;311;1;18,0;22,00;35,00;36,000;115,266;2;A;0,0000;0,000
291;PRODUTO 291;10;4;18,0;12,00;15,90;5,000;28,000;2;B;0,0000;1,000
292;PRODUTO 292;10;4;0,0;2,50;3,60;32,000;224,000;1;B;0,0000;0,220
293;PRODUTO 293;10;4;18,0;11,61;15,00;9,000;3,000;2;B;0,0000;0,200
294;PRODUTO 294;4;1;0,0;37,00;52,00;6,000;25,389;2;A;0,0000;0,000
298;PRODUTO 298;311;1;18,0;27,00;40,00;11,000;39,557;2;A;0,0000;0,000
299;PRODUTO 299;4;1;0,0;36,00;55,00;46,000;85,532;2;B;0,0000;0,000
300;PRODUTO 300;268;4;;5,30;6,60;62,000;129,000;11;B;0,0000;0,550
301;PRODUTO 301;321;4;18,0;53,00;65,00;6,000;27,000;11;A;0,0000;5,200
302;PRODUTO 302;294;2;18,0;38,00;45,00;6,000;18,000;7;C;0,0000;
303;PRODUTO 303;146;4;18,0;28,00;35,50;2,000;30,000;11;D;0,0000;0,400
304;PRODUTO 304;294;1;18,0;23,00;33,50;5,000;32,172;11;D;0,0000;0,000
305;PRODUTO 305;418;6;18,0;15,90;19,50;10,000;137,000;4;B;0,0000;2,400
306;PRODUTO 306;24;4;18,0;9,00;12,00;6,000;31,000;7;C;0,0000;0,500
307;PRODUTO 307;294;4;18,0;39,40;54,00;12,000;26,000;11;B;0,0000;3,500
308;PRODUTO 308;146;4;18,0;22,23;28,50;4,000;2,000;11;C;0,0000;0,650
309;PRODUTO 309;293;4;18,0;17,00;20,00;5,000;5,000;4;C;0,0000;2,380
310;PRODUTO 310;294;1;18,0;11,20;18,00;17,000;203,060;11;A;0,0000;0,000
311;PRODUTO 311;53;4;18,0;11,81;16,50;3,000;2,000;11;A;0,0000;0,420
312;PRODUTO 312;294;1;18,0;22,50;35,00;6,000;77,946;7;A;0,0000;0,000
313;PRODUTO 313;294;1;18,0;20,00;35,00;36,000;36,796;11;A;0,0000;0,000
314;PRODUTO 314;277;4;18,0;53,00;65,00;36,000;57,000;11;B;0,0000;5,500
315;PRODUTO 315;294;1;18,0;20,00;41,50;10,000;51,726;10;B;0,0000;0,000
316;PRODUTO 316;294;1;18,0;13,50;25,50;22,000;63,979;10;B;0,0000;0,000
317;PRODUTO 317;356;4;0,0;1,85;2,50;26,000;67,000;7;A;0,0000;0,800
318;PRODUTO 318;277;4;18,0;24,70;32,90;10,000;60,000;11;B;0,0000;0,600
319;PRODUTO 319;294;2;18,0;38,00;46,00;11,000;16,000;11;B;0,0000;3,600
320;PRODUTO 320;356;4;;65,00;76,00;0,000;0,000;8;C;0,0000;10,600
321;PRODUTO 321;51;4;0,0;12,40;16,20;2,000;21,000;8;B;0,0000;1,050
322;PRODUTO 322;311;4;18,0;14,18;16,30;11,000;5,000;7;C;0,0000;1,050
323;PRODUTO 323;51;4;;2,60;3,40;0,000;24,000;7;C;0,0000;0,180
324;PRODUTO 324;14;1;18,0;65,00;78,00;0,000;0,596;7;C;0,0000;0,000
325;PRODUTO 325;294;1;18,0;50,00;75,90;10,000;88,251;10;B;0,0000;0,000
326;PRODUTO 326;294;1;18,0;9,00;15,00;2,000;23,668;10;B;0,0000;0,000
327;PRODUTO 327;37;1;18,0;11,60;14,00;77,000;81,000;7;B;0,0000;1,050
328;PRODUTO 328;294;4;18,0;42,80;58,00;10,000;31,000;11;B;0,0000;3,450
329;PRODUTO 329;199;4;12,0;25,95;30,00;2,000;10,000;7;C;0,0000;0,000
330;PRODUTO 330;146;3;0,0;12,53;14,50;6,000;81,000;8;B;0,0000;0,950
332;PRODUTO 332;46;1;12,0;12,00;16,90;6,000;35,889;8;B;0,0000;0,500
333;PRODUTO 333;51;4;0,0;5,40;7,50;17,000;151,000;8;B;0,0000;1,000
334;PRODUTO 334;24;4;18,0;9,30;11,00;3,000;45,000;7;B;0,0000;0,550
335;PRODUTO 335;311;4;18,0;11,27;13,20;6,000;0,000;7;C;0,0000;1,050
336;PRODUTO 336;243;4;0,0;50,00;61,90;2,000;6,000;11;D;0,0000;0,300
337;PRODUTO 337;294;1;18,0;15,00;22,90;4,000;5,378;7;C;0,0000;0,000
338;PRODUTO 338;247;4;0,0;30,20;38,00;0,000;52,000;7;B;0,0000;1,100
339;PRODUTO 339;24;4;18,0;15,00;19,00;7,000;46,000;7;B;0,0000;3,450
340;PRODUTO 340;24;4;18,0;17,00;20,00;2,000;57,000;7;B;0,0000;3,700
341;PRODUTO 341;51;4;18,0;22,00;26,00;14,000;34,000;7;B;0,0000;3,650
342;PRODUTO 342;24;3;18,0;5,20;6,50;2,000;28,000;7;B;0,0000;1,020
343;PRODUTO 343;294;4;18,0;41,00;58,00;7,000;26,000;11;A;0,0000;3,450
344;PRODUTO 344;354;4;0,0;24,77;31,00;2,000;12,000;11;C;0,0000;0,000
345;PRODUTO 345;50;4;0,0;9,00;13,00;6,000;87,000;7;C;0,0000;0,280
346;PRODUTO 346;243;4;18,0;11,00;13,50;17,000;93,000;7;B;0,0000;0,690
347;PRODUTO 347;354;4;0,0;23,50;29,90;3,000;0,000;11;C;0,0000;0,000
348;PRODUTO 348;294;1;18,0;57,50;69,00;5,000;2,570;10;B;0,0000;0,000
350;PRODUTO 350;294;1;18,0;42,00;68,00;2,000;27,480;10;A;0,0000;0,000
351;PRODUTO 351;24;3;0,0;6,60;7,50;2,000;23,000;7;B;0,0000;1,000
352;PRODUTO 352;51;4;18,0;20,00;25,00;17,000;36,000;7;B;0,0000;3,500
353;PRODUTO 353;51;4;0,0;5,00;6,50;0,000;1,000;7;C;0,0000;0,230
356;PRODUTO 356;268;4;0,0;5,40;6,20;24,000;666,000;11;B;2,0000;0,870
357;PRODUTO 357;268;4;18,0;37,00;45,00;19,000;68,000;11;B;2,0000;5,000
358;PRODUTO 358;294;1;18,0;40,00;62,00;5,000;27,922;10;B;0,0000;0,000
359;PRODUTO 359;294;1;18,0;39,00;60,00;15,000;57,819;10;B;0,0000;0,000
360;PRODUTO 360;24;1;18,0;8,00;10,00;6,000;64,000;7;B;0,0000;1,050
361;PRODUTO 361;199;4;12,0;17,30;19,50;2,000;32,000;7;A;0,0000;3,500
362;PRODUTO 362;294;1;18,0;27,00;55,50;26,000;71,791;10;A;0,0000;0,000
363;PRODUTO 363;24;4;0,0;1,65;2,50;2,000;15,000;7;C;0,0000;0,300
364;PRODUTO 364;199;4;12,0;26,00;31,50;39,000;57,000;7;A;0,0000;3,500
365;PRODUTO 365;51;3;18,0;4,80;6,00;11,000;90,000;7;B;0,0000;1,000
366;PRODUTO 366;24;3;18,0;23,33;26,80;3,000;8,000;11;B;0,0000;1,000
367;PRODUTO 367;24;4;0,0;2,11;3,00;2,000;2,000;7;B;0,0000;0,300
368;PRODUTO 368;24;4;18,0;5,20;7,00;3,000;36,000;7;B;0,0000;1,000
369;PRODUTO 369;247;1;;32,00;43,00;2,000;68,000;7;B;0,0000;1,000
370;PRODUTO 370;294;4;18,0;14,90;20,40;13,000;116,000;7;B;0,0000;0,150
371;PRODUTO 371;268;2;18,0;150,33;178,00;11,000;34,000;7;B;0,0000;15,500
372;PRODUTO 372;294;1;18,0;23,50;43,50;2,000;27,472;10;B;0,0000;0,000
373;PRODUTO 373;24;4;0,0;2,55;3,20;2,000;0,000;7;B;0,0000;0,300
374;PRODUTO 374;24;3;18,0;5,40;8,00;17,000;170,000;7;B;0,0000;1,000
375;PRODUTO 375;294;4;18,0;67,00;79,00;7,000;28,000;7;B;0,0000;2,900
376;PRODUTO 376;199;4;12,0;26,00;30,90;30,000;21,000;7;A;0,0000;5,000
377;PRODUTO 377;24;3;18,0;4,86;6,70;0,000;10,000;7;B;0,0000;1,000
378;PRODUTO 378;64;4;18,0;24,00;29,00;23,000;34,000;7;A;0,0000;3,100
379;PRODUTO 379;60;4;18,0;9,90;13,00;5,000;31,000;7;A;0,0000;6,000
380;PRODUTO 380;416;4;0,0;7,60;9,90;3,000;7,000;7;B;0,0000;0,250
382;PRODUTO 382;294;4;18,0;43,40;60,00;6,000;15,000;11;B;0,0000;3,000
385;PRODUTO 385;99;1;0,0;40,00;47,90;0,000;0,000;2;D;0,0000;0,000
386;PRODUTO 386;115;4;18,0;77,00;95,50;2,000;12,000;1;B;0,0000;5,350
387;PRODUTO 387;51;4;18,0;29,70;37,00;3,000;16,000;7;A;0,0000;3,900
388;PRODUTO 388;64;1;18,0;8,00;10,00;18,000;34,000;7;B;0,0000;0,000
389;PRODUTO 389;294;2;18,0;60,00;72,90;8,000;33,000;7;B;0,0000;2,200
391;PRODUTO 391;199;3;0,0;3,00;3,50;68,000;211,000;7;A;0,0000;0,350
392;PRODUTO 392;37;6;18,0;45,69;55,90;3,000;16,000;7;C;0,0000;2,310
393;PRODUTO 393;294;4;0,0;8,30;10,50;5,000;31,000;7;C;0,0000;0,150
394;PRODUTO 394;294;4;18,0;49,00;64,00;4,000;13,000;7;C;0,0000;1,990
396;PRODUTO 396;199;4;12,0;10,80;12,50;48,000;56,000;7;A;0,0000;2,050
397;PRODUTO 397;387;4;0,0;22,50;26,90;3,000;8,000;7;D;0,0000;1,000
399;PRODUTO 399;401;4;0,0;30,00;36,90;0,000;16,000;7;C;0,0000;0,200
401;PRODUTO 401;199;3;0,0;2,52;3,00;9,000;559,000;7;A;0,0000;0,350
402;PRODUTO 402;294;1;18,0;12,60;19,50;47,000;128,180;7;B;0,0000;0,000
403;PRODUTO 403;37;4;18,0;3,80;4,90;7,000;16,000;7;C;0,0000;0,024
404;PRODUTO 404;37;4;18,0;4,72;6,30;2,000;1,000;7;D;0,0000;0,165
405;PRODUTO 405;294;1;18,0;45,90;65,00;14,000;27,108;10;C;0,0000;0,000
406;PRODUTO 406;46;4;0,0;8,05;14,90;2,000;18,000;7;C;0,0000;0,000
407;PRODUTO 407;37;1;18,0;9,00;11,00;18,000;56,000;7;C;0,0000;1,100
408;PRODUTO 408;332;4;0,0;5,40;7,10;3,000;20,000;5;C;0,0000;0,300
409;PRODUTO 409;294;1;;6,70;8,50;6,000;15,581;7;C;0,0000;
410;PRODUTO 410;37;1;18,0;9,00;11,00;8,000;44,000;7;B;0,0000;1,050
411;PRODUTO 411;37;1;18,0;9,00;11,00;22,000;30,000;7;B;0,0000;1,050
412;PRODUTO 412;37;1;18,0;8,00;11,00;16,000;51,000;7;A;0,0000;1,050
414;PRODUTO 414;37;1;18,0;12,00;13,90;3,000;9,000;7;A;0,0000;1,000
415;PRODUTO 415;72;1;18,0;14,60;17,00;2,000;28,000;7;B;0,0000;1,050
416;PRODUTO 416;72;1;18,0;14,60;17,00;8,000;25,000;7;B;0,0000;1,310
417;PRODUTO 417;294;1;0,0;8,80;10,90;7,000;16,470;7;C;0,0000;0,000
418;PRODUTO 418;37;1;18,0;7,30;9,00;28,000;75,000;7;B;0,0000;1,050
419;PRODUTO 419;294;4;18,0;4,00;5,90;0,000;8,000;7;C;0,0000;0,110
420;PRODUTO 420;294;2;18,0;40,00;50,00;6,000;22,000;11;B;0,0000;3,500
421;PRODUTO 421;294;4;18,0;1,00;2,00;0,000;3,000;7;C;0,0000;0,010
422;PRODUTO 422;37;4;0,0;11,40;15,90;4,000;4,000;7;C;0,0000;0,520
423;PRODUTO 423;294;1;18,0;38,00;48,00;2,000;31,032;10;D;0,0000;0,000
424;PRODUTO 424;294;1;18,0;18,00;25,00;4,000;9,762;10;C;0,0000;0,000
425;PRODUTO 425;4;4;18,0;163,00;190,00;3,000;5,000;1;C;0,0000;18,000
426;PRODUTO 426;294;1;;26,00;51,90;0,000;6,900;10;C;0,0000;0,000
427;PRODUTO 427;294;1;18,0;6,70;11,50;5,000;48,098;10;C;0,0000;0,000
428;PRODUTO 428;294;1;18,0;26,00;45,00;3,000;25,048;10;D;0,0000;0,000
429;PRODUTO 429;294;1;18,0;18,00;25,00;0,000;31,554;7;C;0,0000;0,000
430;PRODUTO 430;294;1;18,0;25,20;49,00;0,000;8,412;10;C;0,0000;0,000
432;PRODUTO 432;356;4;18,0;14,00;18,90;2,000;36,000;7;B;0,0000;1,100
433;PRODUTO 433;243;4;18,0;19,70;23,50;15,000;131,000;7;C;0,0000;0,000
434;PRODUTO 434;294;1;18,0;30,00;45,00;0,000;7,441;10;D;0,0000;0,000
435;PRODUTO 435;168;4;18,0;29,00;38,00;19,000;13,000;7;A;0,0000;2,500
436;PRODUTO 436;249;4;0,0;36,33;47,30;10,000;25,000;7;C;0,0000;4,100
438;PRODUTO 438;294;1;18,0;6,10;11,00;3,000;58,095;10;C;0,0000;0,000
439;PRODUTO 439;294;1;18,0;15,00;29,00;5,000;24,068;10;C;0,0000;0,000
440;PRODUTO 440;168;2;0,0;24,50;32,00;26,000;43,000;7;B;0,0000;2,300
441;PRODUTO 441;168;2;0,0;8,00;11,50;9,000;25,000;7;C;0,0000;0,300
442;PRODUTO 442;168;2;0,0;23,00;30,00;26,000;24,000;7;B;0,0000;2,300
443;PRODUTO 443;37;4;18,0;41,00;49,00;8,000;37,000;7;B;0,0000;1,100
