NUMPED;DATAPED;HORAPED;CODCLIEN;ES;FINALIDNFE;SITUACAO;PESO;PRAZOPGTO;VALORPRODS;VALORDESC;VALOR;VALBASEICMS;VALICMS;COMISSAO
553.236;01.04.2022;12:18:08;3.364;S;1;2;32,200;14;1.117,92;0,00;1.117,92;1.108,64;134,15;0,00
553.238;01.04.2022;12:55:01;1.076;S;1;2;10,100;14;255,74;0,00;255,74;99,46;17,90;0,00
553.239;01.04.2022;12:51:30;;S;1;0;0,000;0;0,00;0,00;0,00;0,00;0,00;0,00
553.240;01.04.2022;12:57:23;1.598;S;1;2;3,662;10;96,48;0,00;96,48;64,32;11,58;0,00
553.242;01.04.2022;13:01:22;2.424;S;1;2;19,075;14;507,34;0,00;507,34;485,94;53,56;0,00
553.243;01.04.2022;13:09:39;3.227;S;1;2;9,266;0;730,33;0,00;730,33;671,01;88,57;0,00
553.244;01.04.2022;13:17:12;1.281;S;1;3;14,800;14;420,26;0,00;420,26;374,08;50,43;0,00
553.245;01.04.2022;13:18:10;1.281;S;1;2;8,670;14;245,18;0,00;245,18;245,18;14,13;0,00
553.246;01.04.2022;13:26:08;2.309;S;1;2;6,204;14;378,75;0,00;378,75;340,67;40,02;0,00
553.247;01.04.2022;13:40:17;2.017;S;1;2;2,000;0;67,58;0,00;67,58;45,06;8,11;0,00
553.249;01.04.2022;14:13:09;1.298;S;1;2;17,029;0;382,35;0,00;382,35;319,94;31,24;0,00
553.250;01.04.2022;15:25:31;2.652;S;1;2;5,818;0;254,15;0,00;254,15;229,75;19,40;0,00
553.251;01.04.2022;15:26:31;2.652;S;1;2;0,218;0;31,50;0,00;31,50;31,50;5,67;0,00
553.252;01.04.2022;15:31:01;2.017;S;1;2;6,800;0;117,69;0,00;117,69;108,52;8,63;0,00
553.253;01.04.2022;15:56:25;2.636;S;1;1;0,000;0;7,00;0,00;7,00;7,00;0,00;0,00
553.254;01.04.2022;16:07:57;2.034;S;1;2;43,630;14;604,90;0,00;604,90;463,79;67,89;0,00
553.255;01.04.2022;16:08:51;2.391;S;1;2;9,700;21;371,32;0,00;371,32;371,32;44,56;0,00
553.256;01.04.2022;16:09:49;1.875;S;1;2;30,700;14;1.000,55;0,00;1.000,55;1.000,55;101,07;2,00
553.257;01.04.2022;16:11:25;1.118;S;1;2;24,310;14;563,43;0,00;563,43;331,98;40,09;3,00
553.258;01.04.2022;16:16:25;2.368;S;1;2;61,090;14;1.166,36;0,00;1.166,36;1.113,45;36,81;3,00
553.259;01.04.2022;16:23:05;1.763;S;1;2;50,970;21;919,09;0,00;919,09;717,42;97,60;3,00
553.260;01.04.2022;16:28:12;2.271;S;1;3;67,050;14;1.196,70;0,00;1.196,70;1.071,75;117,11;3,00
553.261;01.04.2022;16:33:28;1.325;S;1;2;34,870;14;636,20;0,00;636,20;395,26;42,88;3,00
553.262;01.04.2022;16:35:15;3.168;S;1;2;27,860;21;1.279,91;0,00;1.279,91;931,08;153,60;0,00
553.263;01.04.2022;16:37:23;1.230;S;1;2;25,576;28;729,76;0,00;729,76;632,08;86,75;0,00
553.264;01.04.2022;16:41:53;2.250;S;1;2;25,080;14;859,30;0,00;859,30;682,54;88,65;3,00
553.265;01.04.2022;16:41:09;1.394;S;1;2;21,480;14;466,05;0,00;466,05;207,54;29,61;3,00
553.266;01.04.2022;16:45:19;1.892;S;1;2;22,150;14;583,91;0,00;583,91;328,39;51,55;3,00
553.267;01.04.2022;16:46:05;2.494;S;1;2;2,000;0;37,72;0,00;37,72;25,15;4,53;0,00
553.269;01.04.2022;16:47:34;2.675;S;1;2;12,024;14;846,50;0,00;846,50;530,84;78,37;3,00
553.270;01.04.2022;16:49:19;2.549;S;1;2;1,526;0;56,29;0,00;56,29;37,53;6,76;0,00
553.271;01.04.2022;16:52:22;1.846;S;1;2;15,200;14;347,67;0,00;347,67;135,21;24,34;3,00
553.272;01.04.2022;16:56:23;2.424;S;1;3;70,570;14;2.606,24;0,00;2.606,24;1.944,97;301,01;0,00
553.273;01.04.2022;16:55:50;2.495;S;1;2;2,300;0;84,48;0,00;84,48;84,48;10,14;0,00
553.274;01.04.2022;17:01:28;1.081;S;1;2;24,210;14;389,63;0,00;389,63;296,41;39,58;2,00
553.275;01.04.2022;17:09:59;2.017;S;1;2;4,050;0;155,32;0,00;155,32;155,32;18,64;0,00
553.276;01.04.2022;17:23:35;2.271;S;1;2;67,050;14;1.196,70;0,00;1.196,70;1.071,75;117,11;3,00
553.277;01.04.2022;17:25:16;2.579;S;1;2;6,870;0;183,50;0,00;183,50;163,68;20,66;0,00
553.278;01.04.2022;18:08:17;1.365;S;1;2;2,888;14;97,44;0,00;97,44;80,92;8,48;0,00
553.279;01.04.2022;18:10:00;1.365;S;1;2;2,050;14;9,70;0,00;9,70;9,70;1,16;0,00
553.280;02.04.2022;09:11:41;1.615;S;1;2;9,100;21;327,21;0,00;327,21;179,50;20,20;0,00
553.281;02.04.2022;09:35:00;2.560;S;1;2;8,200;21;325,38;0,00;325,38;325,38;39,05;0,00
553.282;02.04.2022;09:24:44;2.636;S;1;2;0,000;0;7,00;0,00;7,00;7,00;0,00;0,00
553.283;02.04.2022;09:25:07;2.636;S;1;2;0,450;0;3,50;0,00;3,50;3,50;0,00;0,00
553.284;02.04.2022;09:26:29;3.377;S;1;2;9,770;14;374,00;0,00;374,00;374,00;44,88;0,00
553.285;02.04.2022;09:29:04;1.220;S;1;2;2,000;14;61,02;0,00;61,02;61,02;0,00;0,00
553.287;02.04.2022;09:38:10;2.017;S;1;2;4,120;0;149,27;0,00;149,27;149,27;17,91;0,00
553.288;02.04.2022;09:43:03;2.499;S;1;2;6,400;14;121,93;0,00;121,93;81,29;14,63;0,00
553.289;02.04.2022;09:49:05;;S;1;2;12,880;0;522,83;0,00;522,83;391,90;47,03;0,00
553.290;02.04.2022;09:51:12;1.784;S;1;2;12,880;14;431,62;0,00;431,62;320,76;49,93;3,00
553.291;02.04.2022;09:52:42;1.247;S;1;2;2,500;14;47,68;0,00;47,68;47,68;0,00;0,00
553.292;02.04.2022;10:29:27;1.479;S;1;2;17,390;14;559,75;0,00;559,75;439,26;43,38;0,00
553.293;02.04.2022;10:18:32;1.353;S;1;2;20,890;7;588,30;0,00;588,30;502,44;50,68;0,00
553.294;02.04.2022;10:22:23;2.424;S;1;2;0,780;14;64,50;0,00;64,50;43,00;0,00;0,00
553.295;02.04.2022;10:34:39;1.175;S;1;2;6,650;14;198,03;0,00;198,03;198,03;18,04;0,00
553.296;02.04.2022;10:48:46;1.457;S;1;2;7,310;14;236,22;0,00;236,22;210,81;25,34;0,00
553.297;02.04.2022;10:52:52;2.638;S;1;2;0,500;0;29,64;0,00;29,64;29,64;0,00;3,00
553.298;02.04.2022;10:54:05;2.017;S;1;2;1,106;0;72,47;0,00;72,47;48,32;8,70;0,00
553.299;02.04.2022;12:37:49;1.457;S;1;2;22,710;14;328,41;0,00;328,41;295,17;36,01;0,00
553.300;02.04.2022;12:25:21;2.525;S;1;2;1,640;0;37,58;0,00;37,58;25,05;4,51;0,00
553.301;02.04.2022;12:34:08;1.559;S;1;2;8,190;0;311,41;0,00;311,41;161,45;17,90;0,00
553.302;02.04.2022;12:45:03;2.732;S;1;2;0,426;0;16,51;0,00;16,51;11,01;1,98;3,00
553.303;02.04.2022;12:49:02;2.018;S;1;2;40,900;28;1.130,00;0,00;1.130,00;1.001,82;125,11;3,00
553.304;02.04.2022;12:56:13;2.020;S;1;2;58,720;20;858,60;0,00;858,60;520,59;89,15;3,00
553.305;04.04.2022;06:56:32;2.560;S;1;3;169,085;21;4.425,22;0,00;4.425,22;4.297,87;516,38;0,00
553.306;04.04.2022;06:58:22;1.582;S;1;3;206,245;21;4.810,77;0,00;4.810,77;4.719,91;544,63;0,00
553.307;04.04.2022;07:27:32;1.320;S;1;2;28,924;28;1.103,48;0,00;1.103,48;863,45;106,16;3,00
553.308;04.04.2022;08:45:12;1.479;S;1;2;0,560;14;159,47;0,00;159,47;159,47;21,67;0,00
553.309;04.04.2022;08:42:00;1.049;S;1;2;11,990;0;348,09;0,00;348,09;348,09;30,86;0,00
553.310;04.04.2022;08:44:02;1.773;S;1;2;2,560;14;141,39;0,00;141,39;90,82;0,87;0,00
553.311;04.04.2022;08:48:48;2.588;S;1;2;3,120;14;44,52;0,00;44,52;35,43;6,38;0,00
553.312;04.04.2022;08:51:35;1.041;S;1;2;15,460;14;305,09;0,00;305,09;301,92;20,12;0,00
553.313;04.04.2022;08:53:15;1.304;S;1;2;33,300;14;608,06;0,00;608,06;236,47;42,57;0,00
553.314;04.04.2022;08:54:53;1.185;S;1;2;15,000;14;334,00;0,00;334,00;280,67;50,52;0,00
553.315;04.04.2022;08:56:29;3.342;S;1;2;65,190;7;1.846,77;0,00;1.846,77;1.769,46;218,33;0,00
553.316;04.04.2022;08:57:21;1.324;S;1;2;7,040;0;215,52;0,00;215,52;198,58;25,86;0,00
553.317;04.04.2022;08:59:02;2.636;S;1;2;0,450;0;11,45;0,00;11,45;11,45;0,00;0,00
553.318;04.04.2022;09:16:17;1.324;S;1;2;7,040;0;224,82;0,00;224,82;207,88;37,42;0,00
553.319;04.04.2022;09:22:04;1.270;S;1;2;22,410;10;496,06;0,00;496,06;210,73;37,93;0,00
553.320;04.04.2022;09:49:15;1.965;S;1;2;10,000;7;287,15;0,00;287,15;111,67;20,10;3,00
553.322;04.04.2022;10:43:40;2.424;S;1;2;11,300;14;547,20;0,00;547,20;242,67;30,78;0,00
553.323;04.04.2022;10:45:08;3.342;S;1;2;53,640;7;1.717,52;0,00;1.717,52;1.683,29;202,82;0,00
553.324;04.04.2022;10:49:52;2.507;S;1;2;0,000;0;10,86;0,00;10,86;10,86;1,95;0,00
553.325;04.04.2022;11:37:19;2.253;S;1;2;1.143,650;0;36.625,19;0,00;36.625,19;28.780,93;3.986,22;3,00
553.326;04.04.2022;11:31:40;1.063;S;1;2;11,016;7;177,76;0,00;177,76;164,75;4,68;0,00
553.327;04.04.2022;11:36:45;1.041;S;1;2;6,545;14;177,10;0,00;177,10;68,87;12,40;0,00
553.328;04.04.2022;11:47:50;2.533;S;1;2;15,590;14;281,10;0,00;281,10;225,63;33,64;0,00
553.329;04.04.2022;12:05:42;2.671;S;1;2;27,310;7;942,43;0,00;942,43;934,65;113,09;0,00
553.331;04.04.2022;12:09:51;2.671;S;1;3;23,310;7;801,19;0,00;801,19;793,41;96,14;0,00
553.332;04.04.2022;12:26:40;;S;1;0;0,000;0;0,00;0,00;0,00;0,00;0,00;0,00
553.333;04.04.2022;12:37:36;1.484;S;1;2;6,125;0;99,86;0,00;99,86;71,29;3,27;0,00
553.335;04.04.2022;13:28:21;3.246;S;1;2;1,992;0;195,35;0,00;195,35;183,42;6,38;0,00
553.336;04.04.2022;13:41:18;1.119;S;1;2;16,740;14;397,00;0,00;397,00;363,32;47,64;0,00
553.337;04.04.2022;13:50:10;1.897;S;1;2;26,910;14;466,62;0,00;466,62;402,83;37,62;0,00
553.338;04.04.2022;13:58:56;1.438;S;1;2;36,950;14;1.353,40;0,00;1.353,40;950,35;117,99;3,00
553.339;04.04.2022;14:02:08;1.917;S;1;2;35,820;14;909,59;0,00;909,59;636,49;84,02;0,00
553.340;04.04.2022;14:02:16;2.413;S;1;2;10,000;14;329,40;0,00;329,40;329,40;39,53;0,00
553.341;04.04.2022;14:03:01;3.404;S;1;2;12,000;19;366,12;0,00;366,12;366,12;0,00;0,00
553.342;04.04.2022;14:06:34;1.108;S;1;3;50,348;14;1.585,43;0,00;1.585,43;1.283,75;187,38;0,00
553.343;04.04.2022;14:21:49;2.507;S;1;2;4,662;0;142,02;0,00;142,02;131,82;14,92;0,00
553.344;04.04.2022;14:09:54;1.898;S;1;2;32,480;14;462,77;0,00;462,77;365,65;52,27;0,00
553.345;04.04.2022;14:17:48;1.049;S;1;2;3,000;0;65,49;0,00;65,49;43,66;7,86;0,00
553.346;04.04.2022;14:18:15;1.835;S;1;2;62,630;14;824,16;0,00;824,16;558,27;100,49;3,00
553.347;04.04.2022;14:32:38;3.289;S;1;2;26,220;7;962,39;0,00;962,39;934,08;115,49;0,00
553.349;04.04.2022;14:35:30;3.235;S;1;2;20,000;14;425,60;0,00;425,60;165,52;29,79;3,00
553.350;04.04.2022;14:38:09;1.185;S;1;2;55,664;14;1.631,45;0,00;1.631,45;1.218,21;166,43;0,00
553.351;04.04.2022;14:39:34;2.230;S;1;2;7,730;7;418,34;0,00;418,34;332,58;53,45;0,00
553.352;04.04.2022;14:40:56;2.071;S;1;2;1,000;14;29,00;0,00;29,00;19,33;3,48;0,00
553.353;04.04.2022;14:44:53;1.610;S;1;2;29,070;14;845,03;0,00;845,03;827,61;75,98;3,00
553.354;04.04.2022;14:50:54;1.457;S;1;2;6,540;14;314,72;0,00;314,72;209,82;37,77;0,00
553.355;04.04.2022;14:59:13;1.237;S;1;2;27,796;28;390,17;0,00;390,17;342,37;36,83;0,00
553.356;04.04.2022;15:00:37;2.271;S;1;2;5,000;14;90,85;0,00;90,85;90,85;0,00;3,00
553.357;04.04.2022;15:11:46;3.416;S;1;3;37,700;28;917,58;0,00;917,58;883,85;101,96;0,00
553.358;04.04.2022;15:13:11;2.000;S;1;2;22,020;0;183,36;0,00;183,36;139,90;14,70;0,00
553.359;04.04.2022;15:33:14;1.086;S;1;2;12,000;14;409,02;0,00;409,02;409,02;62,64;0,00
553.360;04.04.2022;15:44:35;2.354;S;1;2;15,470;14;593,74;0,00;593,74;395,85;71,25;0,00
553.361;04.04.2022;15:45:52;2.296;S;1;2;15,700;10;285,85;0,00;285,85;190,58;34,30;0,00
553.364;04.04.2022;15:57:04;1.479;S;1;2;55,990;14;1.097,64;0,00;1.097,64;711,78;93,29;0,00
553.365;04.04.2022;16:00:49;1.520;S;1;3;178,925;7;3.616,32;0,00;3.616,32;2.850,81;351,56;0,00
553.366;04.04.2022;16:03:13;2.434;S;1;2;51,600;14;574,17;0,00;574,17;445,99;14,68;0,00
553.367;04.04.2022;16:05:12;2.142;S;1;2;28,760;14;554,21;0,00;554,21;494,47;53,86;1,50
553.368;04.04.2022;16:06:32;1.128;S;1;3;11,000;14;482,48;0,00;482,48;321,67;57,90;0,00
553.369;04.04.2022;16:15:31;2.424;S;1;2;47,650;14;1.205,08;0,00;1.205,08;1.106,00;140,85;0,00
553.370;04.04.2022;16:19:31;1.746;S;1;3;37,865;0;1.253,21;0,00;1.253,21;1.209,44;128,42;0,00
553.371;04.04.2022;16:21:01;1.423;S;1;2;10,000;19;305,10;0,00;305,10;305,10;0,00;0,00
553.372;04.04.2022;16:29:34;2.017;S;1;2;9,450;0;275,57;0,00;275,57;144,33;25,98;0,00
553.373;04.04.2022;16:31:49;1.220;S;1;2;1,260;14;52,01;0,00;52,01;44,84;0,00;0,00
553.374;04.04.2022;16:38:16;1.042;S;1;2;41,869;14;727,39;0,00;727,39;499,99;63,86;0,00
553.375;04.04.2022;16:41:35;3.189;S;1;2;21,535;14;372,84;0,00;372,84;190,30;34,25;3,00
553.376;04.04.2022;16:43:42;1.810;S;1;3;47,175;14;1.347,28;0,00;1.347,28;1.133,10;147,69;0,00
553.377;04.04.2022;16:46:29;1.150;S;1;3;39,275;14;934,24;0,00;934,24;928,52;75,24;3,00
553.378;04.04.2022;16:47:47;1.026;S;1;3;38,845;28;383,55;0,00;383,55;270,82;44,09;0,00
553.379;04.04.2022;16:48:42;1.699;S;1;2;26,290;14;629,38;0,00;629,38;529,40;75,53;3,00
553.380;04.04.2022;06:44:40;3.364;S;1;3;31,220;14;1.080,23;0,00;1.080,23;1.073,59;129,63;0,00
553.381;04.04.2022;16:51:21;1.285;S;1;2;18,180;14;623,72;0,00;623,72;623,72;98,30;0,00
553.382;04.04.2022;16:53:21;1.006;S;1;2;20,544;14;346,55;0,00;346,55;261,25;37,32;0,00
553.383;04.04.2022;17:00:15;2.588;S;1;3;47,915;14;1.079,65;0,00;1.079,65;733,76;106,44;0,00
553.384;04.04.2022;17:02:39;2.667;S;1;2;84,210;14;3.218,52;0,00;3.218,52;3.051,49;319,00;0,00
553.385;04.04.2022;17:53:53;2.237;S;1;2;8,784;14;328,17;0,00;328,17;247,06;39,38;0,00
553.386;05.04.2022;05:51:03;3.189;S;1;2;2,750;14;105,27;0,00;105,27;105,27;12,63;3,00
553.387;05.04.2022;05:53:50;3.404;S;1;3;39,000;19;363,10;0,00;363,10;363,10;11,95;0,00
553.388;05.04.2022;05:56:41;2.969;S;1;2;30,000;28;917,98;0,00;917,98;519,24;65,44;0,00
553.389;05.04.2022;05:59:06;1.372;S;1;2;11,600;14;339,94;0,00;339,94;239,81;43,17;3,00
553.390;05.04.2022;06:02:10;1.917;S;1;2;4,200;14;47,00;0,00;47,00;31,33;5,64;0,00
553.391;05.04.2022;06:56:22;2.499;S;1;2;4,092;14;159,11;0,00;159,11;159,11;9,63;0,00
553.392;05.04.2022;14:24:10;1.662;S;1;3;45,800;14;774,01;0,00;774,01;700,62;92,88;0,00
553.393;05.04.2022;08:10:50;2.025;S;1;2;9,670;14;330,82;0,00;330,82;320,00;39,70;3,00
553.395;05.04.2022;08:30:18;2.071;S;1;2;34,183;14;855,63;0,00;855,63;743,73;102,68;0,00
553.396;05.04.2022;08:20:38;2.362;S;1;2;0,300;14;34,70;0,00;34,70;34,70;3,10;0,00
553.397;05.04.2022;08:34:05;1.085;S;1;2;10,514;7;235,79;0,00;235,79;128,62;19,53;3,00
553.398;05.04.2022;08:47:45;2.499;S;1;2;2,550;14;29,63;0,00;29,63;19,75;3,56;0,00
553.399;05.04.2022;08:49:14;1.529;S;1;2;9,000;0;175,08;0,00;175,08;105,45;18,98;0,00
553.400;05.04.2022;08:51:54;1.991;S;1;2;22,965;14;614,62;0,00;614,62;566,62;29,82;0,00
553.402;05.04.2022;08:53:12;2.636;S;1;2;0,000;0;7,00;0,00;7,00;7,00;0,00;0,00
553.403;05.04.2022;08:53:40;2.636;S;1;2;0,450;0;3,50;0,00;3,50;3,50;0,00;0,00
553.404;05.04.2022;08:58:12;2.330;S;1;2;5,000;28;152,55;0,00;152,55;152,55;0,00;0,00
553.405;05.04.2022;09:09:44;2.528;S;1;2;8,718;7;348,74;0,00;348,74;246,50;38,63;0,00
553.406;05.04.2022;09:06:25;2.261;S;1;2;4,540;14;95,81;0,00;95,81;37,26;6,71;3,00
553.407;05.04.2022;09:12:43;2.499;S;1;2;3,000;14;50,28;0,00;50,28;50,28;5,86;0,00
553.408;05.04.2022;09:14:08;1.041;S;1;2;12,920;14;236,02;0,00;236,02;217,60;33,20;0,00
553.409;05.04.2022;09:16:14;2.314;S;1;2;10,000;14;329,40;0,00;329,40;329,40;39,53;0,00
553.410;05.04.2022;09:23:57;2.476;S;1;2;2,000;14;82,49;0,00;82,49;82,49;14,85;0,00
553.411;05.04.2022;09:31:24;1.332;S;1;2;19,171;14;582,30;0,00;582,30;500,93;67,35;0,00
553.412;05.04.2022;09:40:38;2.499;S;1;2;2,032;14;79,05;0,00;79,05;79,05;4,87;0,00
553.413;05.04.2022;09:43:25;1.063;S;1;2;25,056;7;437,00;0,00;437,00;381,46;28,47;0,00
553.414;05.04.2022;09:48:28;3.444;S;1;2;30,190;0;640,98;0,00;640,98;527,99;76,52;0,00
553.415;05.04.2022;09:48:57;2.623;S;1;2;5,500;10;47,55;0,00;47,55;31,70;5,71;0,00
553.417;05.04.2022;10:01:10;1.542;S;1;2;28,620;14;564,51;0,00;564,51;453,29;71,96;0,00
553.418;05.04.2022;10:17:23;1.353;S;1;2;30,000;7;430,56;0,00;430,56;167,44;30,14;0,00
553.419;05.04.2022;10:21:30;1.353;S;1;2;30,000;14;430,56;0,00;430,56;167,44;30,14;0,00
553.420;05.04.2022;10:41:34;1.476;S;1;2;8,284;14;187,51;0,00;187,51;147,49;21,52;3,00
553.421;05.04.2022;10:43:03;1.185;S;1;2;15,000;14;522,00;0,00;522,00;522,00;93,96;0,00
553.422;05.04.2022;10:45:11;1.247;S;1;2;5,000;14;90,85;0,00;90,85;90,85;0,00;0,00
553.423;05.04.2022;10:56:44;1.995;S;1;2;11,040;14;293,54;0,00;293,54;241,41;38,92;0,00
553.424;05.04.2022;11:04:05;1.247;S;1;2;2,000;14;16,38;0,00;16,38;10,92;1,97;0,00
553.425;05.04.2022;11:19:44;1.457;S;1;2;9,932;14;501,27;0,00;501,27;349,07;54,80;0,00
553.426;05.04.2022;11:30:04;1.036;S;1;2;5,860;14;137,15;0,00;137,15;103,10;18,56;0,00
553.427;05.04.2022;11:35:29;2.499;S;1;2;1,518;14;59,57;0,00;59,57;59,57;4,86;0,00
553.428;05.04.2022;12:21:30;1.108;S;1;2;50,348;14;799,57;0,00;799,57;759,81;93,07;0,00
553.429;05.04.2022;12:27:05;3.339;S;1;2;2,410;0;90,41;0,00;90,41;80,61;10,85;0,00
553.430;05.04.2022;12:40:05;3.382;S;1;2;30,000;7;781,30;0,00;781,30;303,85;54,69;0,00
553.431;05.04.2022;12:54:30;3.395;S;1;2;5,000;7;75,71;0,00;75,71;61,76;11,12;0,00
553.432;05.04.2022;13:00:09;2.396;S;1;2;9,248;14;336,66;0,00;336,66;259,04;43,43;0,00
553.433;05.04.2022;13:03:03;3.385;S;1;2;6,874;7;288,74;0,00;288,74;199,10;34,65;0,00
553.435;05.04.2022;13:21:41;1.992;S;1;2;2,510;0;31,90;0,00;31,90;21,27;3,83;0,00
553.436;05.04.2022;14:01:45;2.623;S;1;2;4,200;10;89,38;0,00;89,38;34,76;6,26;0,00
553.437;05.04.2022;14:12:50;2.507;S;1;2;5,272;0;147,42;0,00;147,42;136,16;16,09;0,00
553.438;05.04.2022;14:26:03;1.542;S;1;2;16,045;14;418,02;0,00;418,02;278,69;50,16;0,00
553.439;05.04.2022;14:32:41;1.952;S;1;3;35,000;14;680,85;0,00;680,85;264,78;47,66;0,00
553.440;05.04.2022;14:39:39;2.330;S;1;2;77,344;28;2.626,78;0,00;2.626,78;2.548,10;282,26;0,00
553.441;05.04.2022;14:42:59;2.671;S;1;3;23,310;7;801,19;0,00;801,19;793,41;96,14;0,00
553.442;05.04.2022;14:45:13;2.255;S;1;2;20,000;14;658,80;0,00;658,80;658,80;79,06;3,00
553.443;05.04.2022;14:50:11;1.170;S;1;3;38,820;14;570,98;0,00;570,98;378,53;44,34;0,00
553.444;05.04.2022;14:53:35;1.166;S;1;3;38,470;14;519,53;0,00;519,53;397,37;58,93;0,00
553.445;05.04.2022;15:08:05;1.005;S;1;2;22,000;14;334,08;0,00;334,08;222,73;40,09;3,00
553.446;05.04.2022;15:26:14;1.994;S;1;2;26,050;14;389,40;0,00;389,40;250,20;45,04;3,00
553.447;05.04.2022;15:13:47;2.475;S;1;2;3,392;0;60,62;0,00;60,62;51,36;4,62;0,00
553.448;05.04.2022;15:20:22;1.479;S;1;2;17,400;14;346,97;0,00;346,97;308,93;41,64;0,00
553.449;05.04.2022;15:31:07;1.108;S;1;2;50,098;14;796,06;0,00;796,06;753,16;92,53;0,00
553.450;05.04.2022;15:37:32;2.303;S;1;3;46,685;14;1.861,11;0,00;1.861,11;1.750,04;99,28;0,00
553.451;05.04.2022;15:33:25;2.186;S;1;2;16,230;14;528,92;0,00;528,92;528,92;53,81;0,00
